#           x            Ma
     0.086207     0.0473689
     0.143678     0.0480112
      0.20115     0.0486796
     0.258621     0.0494215
     0.316092     0.0502522
     0.373564      0.051178
     0.431035     0.0522074
     0.488507     0.0533495
     0.545978      0.054613
     0.603449     0.0560059
     0.660921     0.0575343
     0.718392     0.0592025
     0.775863     0.0610123
     0.833334     0.0629634
     0.890806     0.0650532
     0.948277     0.0672773
      1.00575     0.0696298
      1.06322     0.0721038
      1.12069     0.0746924
      1.17816     0.0773881
      1.23563     0.0801844
       1.2931     0.0830753
      1.35058     0.0860558
      1.40805      0.089122
      1.46552     0.0922708
      1.52299     0.0955006
      1.58046     0.0988104
      1.63793        0.1022
       1.6954      0.105671
      1.75287      0.109224
      1.81035      0.112861
      1.86782      0.116586
      1.92529        0.1204
      1.98276      0.124307
      2.04023      0.128311
       2.0977      0.132416
      2.15517      0.136625
      2.21264      0.140943
      2.27011      0.145374
      2.32758      0.149922
      2.38506      0.154592
      2.44253      0.159389
          2.5      0.164317
      2.55747       0.16938
      2.61494      0.174584
      2.67241      0.179934
      2.72988      0.185434
      2.78735      0.191089
      2.84482      0.196903
      2.90229      0.202881
      2.95977      0.209027
      3.01724      0.215346
      3.07471      0.221842
      3.13218      0.228518
      3.18965      0.235378
      3.24712      0.242424
      3.30459       0.24966
      3.36206      0.257087
      3.41953      0.264706
        3.477      0.272518
      3.53447      0.280524
      3.59195      0.288722
      3.64942       0.29711
      3.70689      0.305686
      3.76436      0.314444
      3.82183       0.32338
       3.8793      0.332486
      3.93677      0.341753
      3.99424      0.351171
      4.05171      0.360729
      4.10918      0.370411
      4.16666      0.380202
      4.22413      0.390085
       4.2816      0.400038
      4.33907       0.41004
      4.39654      0.420066
      4.45401       0.43009
      4.51148      0.440084
      4.56895      0.450018
      4.62643      0.459861
       4.6839      0.469585
      4.74137      0.479159
      4.79884      0.488559
      4.85631      0.497763
      4.91378      0.506758
      4.97125      0.515539
      5.02873      0.524107
       5.0862      0.532473
      5.14367      0.540658
      5.20114      0.548684
      5.25861      0.556574
      5.31608      0.564346
      5.37355      0.572018
      5.43103      0.579591
       5.4885      0.587086
      5.54597      0.594478
      5.60344      0.601799
      5.66091      0.609002
      5.71838      0.616135
      5.77585      0.623139
      5.83333      0.630063
       5.8908      0.636855
      5.94827      0.643548
      6.00574      0.650115
      6.06321      0.656564
      6.12068      0.662884
      6.17815      0.669078
      6.23563      0.675135
       6.2931      0.681062
      6.35057      0.686845
      6.40804      0.692493
      6.46551      0.697996
      6.52298      0.703358
      6.58045      0.708573
      6.63793      0.713646
       6.6954       0.71857
      6.75287      0.723352
      6.81034      0.727986
      6.86781      0.732479
      6.92528      0.736826
      6.98275      0.741034
      7.04022        0.7451
       7.0977       0.74903
      7.15517      0.752822
      7.21264      0.756484
      7.27011      0.760013
      7.32758      0.763418
      7.38505      0.766696
      7.44252      0.769857
          7.5      0.772897
      7.55747      0.775828
      7.61494      0.778646
      7.67241      0.781364
      7.72988      0.783978
      7.78735      0.786501
      7.84482       0.78893
      7.90229      0.791279
      7.95977      0.793546
      8.01724      0.795744
      8.07471       0.79787
      8.13218      0.799941
      8.18965      0.801953
      8.24712      0.803922
      8.30459      0.805848
      8.36207      0.807746
      8.41954      0.809615
      8.47701      0.811474
      8.53448      0.813319
      8.59195      0.815171
      8.64942      0.817028
      8.70689      0.818912
      8.76437      0.820821
      8.82184      0.822779
      8.87931      0.824784
      8.93678      0.826864
      8.99425      0.829016
      9.05172      0.831272
      9.10919      0.833631
      9.16666      0.836126
      9.22414       0.83876
      9.28161      0.841572
      9.33908      0.844565
      9.39655      0.847784
      9.45402      0.851237
      9.51149      0.854977
      9.56896      0.859019
      9.62644      0.863425
      9.68391      0.868221
      9.74138      0.873484
      9.79885      0.879284
      9.85632      0.885391
      9.91379      0.895193
