#           x            Ma
     0.086207             0
     0.143678             0
      0.20115             0
     0.258621             0
     0.316092             0
     0.373564             0
     0.431035             0
     0.488507             0
     0.545978             0
     0.603449             0
     0.660921             0
     0.718392             0
     0.775863             0
     0.833334             0
     0.890806             0
     0.948277             0
      1.00575             0
      1.06322             0
      1.12069             0
      1.17816             0
      1.23563             0
       1.2931             0
      1.35058             0
      1.40805             0
      1.46552             0
      1.52299             0
      1.58046             0
      1.63793             0
       1.6954             0
      1.75287             0
      1.81035             0
      1.86782             0
      1.92529             0
      1.98276             0
      2.04023             0
       2.0977             0
      2.15517             0
      2.21264             0
      2.27011             0
      2.32758             0
      2.38506             0
      2.44253             0
          2.5             0
      2.55747             0
      2.61494             0
      2.67241             0
      2.72988             0
      2.78735             0
      2.84482             0
      2.90229             0
      2.95977             0
      3.01724             0
      3.07471             0
      3.13218             0
      3.18965             0
      3.24712             0
      3.30459             0
      3.36206             0
      3.41953             0
        3.477             0
      3.53447             0
      3.59195             0
      3.64942             0
      3.70689             0
      3.76436             0
      3.82183             0
       3.8793             0
      3.93677             0
      3.99424             0
      4.05171             0
      4.10918             0
      4.16666             0
      4.22413             0
       4.2816             0
      4.33907             0
      4.39654             0
      4.45401             0
      4.51148             0
      4.56895             0
      4.62643             0
       4.6839             0
      4.74137             0
      4.79884             0
      4.85631             0
      4.91378             0
      4.97125             0
      5.02873             0
       5.0862             0
      5.14367             0
      5.20114             0
      5.25861             0
      5.31608             0
      5.37355             0
      5.43103             0
       5.4885             0
      5.54597             0
      5.60344             0
      5.66091             0
      5.71838             0
      5.77585             0
      5.83333             0
       5.8908             0
      5.94827             0
      6.00574             0
      6.06321             0
      6.12068             0
      6.17815             0
      6.23563             0
       6.2931             0
      6.35057             0
      6.40804             0
      6.46551             0
      6.52298             0
      6.58045             0
      6.63793             0
       6.6954             0
      6.75287             0
      6.81034             0
      6.86781             0
      6.92528             0
      6.98275             0
      7.04022             0
       7.0977             0
      7.15517             0
      7.21264             0
      7.27011             0
      7.32758             0
      7.38505             0
      7.44252             0
          7.5             0
      7.55747             0
      7.61494             0
      7.67241             0
      7.72988             0
      7.78735             0
      7.84482             0
      7.90229             0
      7.95977             0
      8.01724             0
      8.07471             0
      8.13218             0
      8.18965             0
      8.24712             0
      8.30459             0
      8.36207             0
      8.41954             0
      8.47701             0
      8.53448             0
      8.59195             0
      8.64942             0
      8.70689             0
      8.76437             0
      8.82184             0
      8.87931             0
      8.93678             0
      8.99425             0
      9.05172             0
      9.10919             0
      9.16666             0
      9.22414             0
      9.28161             0
      9.33908             0
      9.39655             0
      9.45402             0
      9.51149             0
      9.56896             0
      9.62644             0
      9.68391             0
      9.74138             0
      9.79885             0
      9.85632             0
      9.91379             0
